Chr	GeneID	GeneName	Start	Stop	CodingLength	log2FoldChange	Foldchange	pval	padj
chr19	ENSG00000167554	ZNF610	52839498	52871031	3537	-0.129	0.914	0.608190514	0.800895758
chr12	ENSG00000167553	TUBA1C	49582519	49667114	3359	0.504	1.418	0.014210196	0.073957145
chr12	ENSG00000167552	TUBA1A	49578579	49583107	3421	0.025	1.017	0.905971207	0.959925891
chr17	ENSG00000167549	CORO6	27941774	27949925	4321	-0.061	0.958	0.886084807	0.951389739
chr12	ENSG00000167548	KMT2D	49412758	49453557	20476	0.823	1.769	6.52E-05	0.000885377
chr17	ENSG00000167543	TP53I13	27893070	27900175	4570	-0.198	0.872	0.295654943	0.541748013
chr17	ENSG00000167536	DHRS13	27224799	27230089	2944	0.337	1.263	0.095374681	0.271215626
chr12	ENSG00000167535	CACNB3	49207577	49222724	7153	0.28	1.214	0.246227014	0.489367392
chr12	ENSG00000167528	ZNF641	48733791	48745197	5646	0.261	1.198	0.142617549	0.350830591
chr16	ENSG00000167526	RPL13	89627065	89630950	3886	-0.411	0.752	0.089576745	0.260281781
chr17	ENSG00000167525	PROCA1	27030215	27038872	4829	0.852	1.806	0.00487386	0.033335503
chr17	ENSG00000167524	SGK494	26934982	26941218	4663	0.819	1.764	0.010091135	0.05725629
chr16	ENSG00000167523	SPATA33	89724210	89737680	5746	0.277	1.211	0.304824844	0.552151282
chr16	ENSG00000167522	ANKRD11	89334038	89556969	15352	0.514	1.428	0.002142551	0.017626323
chr16	ENSG00000167515	TRAPPC2L	88922628	88929094	4463	0.071	1.051	0.732401429	0.876854306
chr16	ENSG00000167513	CDT1	88869621	88875666	3336	0.407	1.326	0.140235892	0.347681433
chr16	ENSG00000167508	MVD	88718343	88729569	4717	0.051	1.036	0.822141097	0.921844298
chr19	ENSG00000167491	GATAD2A	19496635	19619740	7296	0.452	1.367	0.00566368	0.037353713
chr19	ENSG00000167487	KLHL26	18747775	18781309	3582	-0.137	0.91	0.581478656	0.783081136
chr19	ENSG00000167476	JSRP1	2252251	2269758	1955	-0.325	0.798	0.053202296	0.184593877
chr19	ENSG00000167470	MIDN	1248552	1259142	4495	-0.081	0.945	0.644677543	0.825810174
chr19	ENSG00000167468	GPX4	1103936	1106787	2033	-0.263	0.833	0.149103404	0.360234785
chr19	ENSG00000167461	RAB8A	16222439	16245044	5191	0.191	1.142	0.24918616	0.492346603
chr19	ENSG00000167460	TPM4	16177831	16213813	7412	-0.235	0.85	0.265302923	0.508958918
chr17	ENSG00000167447	SMG8	57286761	57292608	3752	0.288	1.221	0.106796294	0.291353892
chr17	ENSG00000167434	CA4	58227297	58248260	2424	-1.538	0.344	0.037126901	0.14505694
chr17	ENSG00000167419	LPO	56295909	56345879	6433	0.219	1.164	0.45187795	0.68626556
chr16	ENSG00000167397	VKORC1	31102163	31107301	2191	-0.453	0.73	0.033504068	0.135037006
chr16	ENSG00000167395	ZNF646	31085743	31095517	8635	0.556	1.47	0.003310509	0.024932051
chr16	ENSG00000167394	ZNF668	31072164	31085641	3935	0.064	1.046	0.784235042	0.902055803
chrX	ENSG00000167393	PPP2R3B	294698	347690	9015	0.547	1.461	0.019047816	0.090567736
chr19	ENSG00000167384	ZNF180	44979854	45004576	3574	0.212	1.158	0.376266663	0.620029144
chr19	ENSG00000167383	ZNF229	44921685	44952766	5508	0.37	1.292	0.065650809	0.212597075
chr19	ENSG00000167380	ZNF226	44669226	44682534	6922	0.111	1.08	0.630787725	0.816572039
chr19	ENSG00000167378	IRGQ	44088521	44100287	9869	0.456	1.371	0.015893276	0.07987481
chr16	ENSG00000167377	ZNF23	71481500	71496998	7342	0.083	1.059	0.744846892	0.883054454
chr17	ENSG00000167363	FN3K	80693451	80709073	3872	0.008	1.006	0.975016976	0.991108408
chr11	ENSG00000167333	TRIM68	4619902	4629489	4282	-0.161	0.895	0.523896619	0.742142191
chr11	ENSG00000167325	RRM1	4115937	4160106	4178	0.241	1.182	0.197910821	0.43003948
chr11	ENSG00000167323	STIM1	3875757	4114439	6811	-0.454	0.73	0.051862498	0.182005756
chr18	ENSG00000167315	ACAA2	47309869	47340330	3740	-0.011	0.992	0.949283764	0.978936979
chr18	ENSG00000167306	MYO5B	47349183	47721463	10490	0.11	1.079	0.559938916	0.768043072
chr17	ENSG00000167302	ENTHD2	79202077	79212891	4762	0.429	1.347	0.109941786	0.297052503
chr17	ENSG00000167291	TBC1D16	77906142	78009647	11555	0.517	1.43	0.007382669	0.045598689
chr11	ENSG00000167283	ATP5L	118271869	118302211	3376	-0.067	0.954	0.718715716	0.86972916
chr17	ENSG00000167280	ENGASE	77071021	77084681	6173	0.217	1.162	0.494657069	0.720054206
chr12	ENSG00000167272	POP5	121016567	121019201	2173	0.251	1.19	0.258720583	0.502200932
chr16	ENSG00000167264	DUS2	68021649	68113223	4472	0.074	1.052	0.766862615	0.893439887
chr17	ENSG00000167258	CDK12	37617764	37721160	12773	0.334	1.26	0.05111198	0.180209041
chr11	ENSG00000167257	RNF214	117103341	117157161	4398	0.268	1.204	0.13059537	0.332437502
chr11	ENSG00000167244	IGF2	2150342	2170833	6979	-0.798	0.575	0.131900945	0.334436556
chr19	ENSG00000167232	ZNF91	23487793	23578362	10397	0.008	1.005	0.97081426	0.989737656
chr18	ENSG00000167220	HDHD2	44633774	44676891	4704	-0.165	0.892	0.464216564	0.696050652
chr18	ENSG00000167216	KATNAL2	44497455	44627658	3827	0.425	1.343	0.14735418	0.357641495
chr16	ENSG00000167208	SNX20	50700211	50715264	5754	-5.813	0.018	3.16E-16	1.86E-14
chr16	ENSG00000167207	NOD2	50727514	50766988	5747	-1.649	0.319	2.52E-05	0.000380626
chr15	ENSG00000167202	TBC1D2B	78276378	78370066	9763	-0.719	0.607	0.002790999	0.021785534
chr15	ENSG00000167196	FBXO22	76196200	76227609	4595	-0.141	0.907	0.487939685	0.714728552
chr17	ENSG00000167193	CRK	1323983	1366456	4090	-0.031	0.979	0.866973549	0.943482012
chr16	ENSG00000167191	GPRC5B	19868616	19897489	6064	0.476	1.391	0.172020182	0.395071114
chr16	ENSG00000167186	COQ7	19078921	19091417	4120	-0.049	0.967	0.810580858	0.917519396
chr17	ENSG00000167183	PRR15L	46029333	46035244	1519	0.05	1.035	0.853216315	0.937012021
chr17	ENSG00000167182	SP2	45973516	46006323	3112	0.149	1.109	0.436615084	0.673373786
chr15	ENSG00000167178	ISLR2	74392652	74430881	6117	-0.998	0.501	0.027063917	0.116538218
chr15	ENSG00000167173	C15orf39	75487984	75504510	5812	-0.002	0.999	0.993464797	0.997793319
chr2	ENSG00000167165	UGT1A6	234600253	234681946	5180	-1.152	0.45	0.062496949	0.205942327
chr9	ENSG00000167157	PRRX2	132427920	132484875	1233	-0.512	0.701	0.288839806	0.535084865
chr9	ENSG00000167136	ENDOG	131580753	131584956	1172	0.266	1.202	0.19440327	0.42530443
chr17	ENSG00000167131	CCDC103	42976510	42982758	3895	0.38	1.302	0.121774924	0.317486514
chr9	ENSG00000167130	DOLPP1	131843379	131852717	2249	0.61	1.526	0.005240718	0.035117693
chr9	ENSG00000167123	CERCAM	131174030	131199626	6054	-0.327	0.797	0.105484978	0.288827534
chr9	ENSG00000167118	URM1	131133598	131153015	3130	0.203	1.151	0.226279246	0.46613421
chr9	ENSG00000167114	SLC27A4	131102925	131123749	3110	0.488	1.403	0.018087331	0.087456938
chr9	ENSG00000167113	COQ4	131084815	131096351	4814	0.33	1.257	0.052909602	0.184160956
chr9	ENSG00000167112	TRUB2	131071382	131085021	2546	0.374	1.296	0.030322995	0.125997997
chr9	ENSG00000167110	GOLGA2	131018108	131038274	6961	0.424	1.341	0.012678303	0.068336735
chr17	ENSG00000167107	ACSF2	48503519	48552206	5797	0.468	1.383	0.006071231	0.039320947
chr9	ENSG00000167106	FAM102A	130702858	130742792	6100	0.269	1.205	0.144768244	0.353799273
chr17	ENSG00000167105	TMEM92	48348767	48358844	3099	0.823	1.769	0.020228839	0.094755865
chr9	ENSG00000167103	PIP5KL1	130683158	130693076	3341	0.443	1.36	0.176678945	0.401353004
chr17	ENSG00000167100	SAMD14	48187404	48207246	7016	0.163	1.12	0.406480865	0.646974851
chr9	ENSG00000167094	TTC16	130478345	130493879	6370	0.464	1.379	0.229412931	0.47048871
chr18	ENSG00000167088	SNRPD1	19192228	19210417	1841	0.102	1.073	0.553175419	0.763480526
chr17	ENSG00000167085	PHB	47481414	47492246	3814	0.206	1.154	0.252477506	0.495373533
chr9	ENSG00000167081	PBX3	128509624	128729656	4529	-0.853	0.554	0.009279042	0.054019975
chr22	ENSG00000167074	TEF	41763337	41795330	4715	0.064	1.045	0.764020694	0.891949631
chr22	ENSG00000167065	DUSP18	31048038	31063877	4450	0.064	1.045	0.81522247	0.919632811
chr22	ENSG00000167037	SGSM1	25202236	25323545	8507	-0.214	0.862	0.593496782	0.791428586
chr8	ENSG00000167034	NKX3-1	23536206	23540440	3271	-1.45	0.366	0.002528376	0.020190402
chr16	ENSG00000167005	NUDT21	56463045	56486111	5474	-0.239	0.847	0.213375217	0.450011359
chr15	ENSG00000167004	PDIA3	44038590	44065477	4240	-0.083	0.944	0.691691981	0.853977348
chr7	ENSG00000166997	CNPY4	99717236	99723134	2475	0.06	1.043	0.814953698	0.919632811
chr12	ENSG00000166987	MBD6	57914493	57923931	5646	0.281	1.215	0.138857474	0.345645223
chr12	ENSG00000166986	MARS	57869228	57911352	7028	0.105	1.075	0.552298248	0.762798324
chr21	ENSG00000166979	EVA1C	33784314	33887707	4353	-1.235	0.425	0.00135588	0.012058821
chr18	ENSG00000166974	MAPRE2	32556892	32723434	6180	-2.299	0.203	0.000255092	0.002938299
chr16	ENSG00000166971	AKTIP	53524952	53538323	5202	-0.39	0.763	0.081577337	0.245113467
chr15	ENSG00000166965	RCCD1	91498100	91506349	4963	0.311	1.241	0.163558992	0.38177911
chr15	ENSG00000166963	MAP1A	43803156	43823818	10652	-0.329	0.796	0.358028886	0.604045247
chr15	ENSG00000166949	SMAD3	67356101	67487533	9113	-0.212	0.863	0.268921147	0.514013131
chr15	ENSG00000166946	CCNDBP1	43477316	43487396	4676	-0.252	0.84	0.143572411	0.352216364
chr15	ENSG00000166938	DIS3L	66585555	66626236	5436	0.184	1.136	0.319414102	0.566811176
chr11	ENSG00000166927	MS4A7	60145955	60163424	4348	-9.526	0.001	9.53E-40	3.36E-37
chr7	ENSG00000166925	TSC22D4	100060982	100076902	3715	-0.1	0.933	0.6214619	0.810290647
chr7	ENSG00000166924	NYAP1	100081550	100092422	3586	0.836	1.785	0.027263019	0.117123677
chr15	ENSG00000166923	GREM1	33010175	33026870	4168	-3.842	0.07	4.91E-08	1.20E-06
chr15	ENSG00000166922	SCG5	32933877	32989299	2192	-1.809	0.285	0.000377473	0.00409379
chr15	ENSG00000166920	C15orf48	45722727	45740959	1405	-3.081	0.118	5.90E-10	1.83E-08
chr20	ENSG00000166913	YWHAB	43514317	43537173	4017	-0.067	0.954	0.73794699	0.87947316
chr15	ENSG00000166912	MTMR10	31231144	31283810	8817	-0.388	0.764	0.119549065	0.313363458
chr12	ENSG00000166908	PIP4K2C	57984957	57997198	3296	0.014	1.009	0.936264897	0.973691252
chr11	ENSG00000166902	MRPL16	59573608	59578345	2271	-0.008	0.995	0.968681034	0.988824654
chr11	ENSG00000166900	STX3	59480929	59573354	7624	0.437	1.353	0.012455619	0.067417434
chr22	ENSG00000166897	ELFN2	37764000	37823505	8782	1.097	2.138	0.054873008	0.188864986
chr12	ENSG00000166896	XRCC6BP1	58335324	58351052	1373	-0.219	0.859	0.413453669	0.652760478
chr11	ENSG00000166889	PATL1	59404189	59436453	4278	0.282	1.216	0.086445034	0.254678083
chr12	ENSG00000166888	STAT6	57489191	57525922	7298	-0.017	0.988	0.920738455	0.966750167
chr15	ENSG00000166887	VPS39	42450899	42500514	7710	0.12	1.087	0.474885286	0.704148349
chr12	ENSG00000166886	NAB2	57482677	57489259	3010	0.109	1.078	0.55934638	0.767737418
chr12	ENSG00000166881	TMEM194A	57449426	57481846	5708	0.325	1.253	0.101324108	0.281388457
chr16	ENSG00000166869	CHP2	23765948	23770272	2382	-0.486	0.714	0.371422115	0.615787792
chr12	ENSG00000166860	ZBTB39	57392618	57400230	6170	0.414	1.333	0.074144401	0.230120073
chr15	ENSG00000166855	CLPX	65440557	65477680	5461	-0.013	0.991	0.943318418	0.975973834
chr16	ENSG00000166851	PLK1	23688977	23701688	4760	0.656	1.575	0.003082915	0.023543208
chr16	ENSG00000166848	TERF2IP	75681684	75795770	3379	-0.498	0.708	0.003436857	0.025668717
chr16	ENSG00000166847	DCTN5	23652713	23681195	5159	-0.031	0.979	0.851584931	0.936420736
chr18	ENSG00000166845	C18orf54	51884287	51911588	5958	-0.296	0.815	0.318182786	0.56557446
chr11	ENSG00000166840	GLYATL1	58672871	58811000	5440	0.505	1.419	0.511242693	0.732882038
chr15	ENSG00000166839	ANKDD1A	65204101	65251042	5018	-0.094	0.937	0.736941407	0.879147924
chr11	ENSG00000166833	NAV2	19372271	20143144	14577	0.686	1.609	0.000237743	0.002766802
chr15	ENSG00000166831	RBPMS2	65032091	65067786	2101	0.384	1.305	0.316570551	0.563711139
chr16	ENSG00000166828	SCNN1G	23194036	23228204	3507	0.81	1.753	0.067773793	0.217126477
chr15	ENSG00000166825	ANPEP	90328120	90358633	4871	-3.426	0.093	5.56E-11	1.94E-09
chr15	ENSG00000166823	MESP1	90291892	90294541	2369	-0.452	0.731	0.242713189	0.485962751
chr16	ENSG00000166822	TMEM170A	75476952	75499395	5572	-0.26	0.835	0.225993324	0.46575852
chr15	ENSG00000166821	PEX11A	90220995	90234014	3171	-0.281	0.823	0.298253284	0.545121199
chr15	ENSG00000166819	PLIN1	90207596	90222658	3797	-1.823	0.283	0.068284273	0.218218585
chr16	ENSG00000166816	LDHD	75145758	75150669	2359	0.351	1.276	0.284910377	0.530872774
chr15	ENSG00000166813	KIF7	90152020	90198682	5001	0.349	1.273	0.199866242	0.432442141
chr15	ENSG00000166803	KIAA0101	64657193	64679886	3051	0.246	1.186	0.310214151	0.556856531
chr11	ENSG00000166801	FAM111A	58910221	58922512	7221	0.274	1.209	0.125660459	0.323743719
chr15	ENSG00000166797	FAM96A	64364758	64386217	2427	-0.273	0.827	0.153911766	0.368046317
chr15	ENSG00000166794	PPIB	64448011	64455404	1911	0.006	1.004	0.977424224	0.992071229
chr11	ENSG00000166793	YPEL4	57412560	57417417	4460	-0.138	0.909	0.728782629	0.874880219
chr11	ENSG00000166788	SAAL1	18091482	18127638	3070	0.043	1.03	0.870873278	0.945297426
chr16	ENSG00000166783	KIAA0430	15688243	15737023	11162	0.009	1.006	0.963067246	0.986095019
chr16	ENSG00000166780	C16orf45	15528152	15718885	3688	-1.212	0.432	0.005650745	0.037282069
chr19	ENSG00000166770	ZNF667-AS1	56988619	57012035	3623	-0.119	0.921	0.564826148	0.771043404
chr17	ENSG00000166750	SLFN5	33570055	33600674	10709	-0.234	0.85	0.293917992	0.540105456
chr16	ENSG00000166747	AP1G1	71762913	71843104	10979	0.101	1.073	0.561185784	0.76893265
chr11	ENSG00000166741	NNMT	114128509	114184007	2919	-5.495	0.022	7.43E-13	3.19E-11
chr11	ENSG00000166736	HTR3A	113845603	113861035	2772	-0.805	0.572	0.033327968	0.134568402
chr15	ENSG00000166734	CASC4	44580927	44707956	6948	-0.56	0.678	0.006859963	0.043185603
chr15	ENSG00000166716	ZNF592	85291866	85349659	8130	0.423	1.341	0.042433029	0.15878849
chr15	ENSG00000166710	B2M	45003675	45011075	3151	-1.959	0.257	3.16E-07	6.74E-06
chrX	ENSG00000166707	ZCCHC18	103356822	103360533	3385	0.076	1.054	0.872979117	0.945955208
chr19	ENSG00000166704	ZNF606	58488421	58514717	7635	-0.036	0.975	0.869457939	0.944471849
chr11	ENSG00000166689	PLEKHA7	16799842	17035990	9575	0.52	1.434	0.005198329	0.034885618
chr17	ENSG00000166685	COG1	71189129	71204646	5061	0.169	1.124	0.295703052	0.541780989
chrX	ENSG00000166681	NGFRAP1	102631268	102633005	1362	0.217	1.162	0.224382247	0.464353046
chr16	ENSG00000166676	TVP23A	10854776	10912651	5281	-0.028	0.981	0.911794962	0.962735619
chr11	ENSG00000166670	MMP10	102641234	102651359	1758	0.43	1.347	0.443561069	0.679658556
chr16	ENSG00000166669	ATF7IP2	10420291	10577495	6391	0.076	1.054	0.749625464	0.88441058
chr20	ENSG00000166619	BLCAP	36120874	36156333	3927	-0.01	0.993	0.953476888	0.981180289
chr18	ENSG00000166603	MC4R	58038564	58040001	1438	-0.964	0.513	0.051041323	0.18003412
chr12	ENSG00000166598	HSP90B1	104323885	104347423	4688	0.071	1.05	0.747379416	0.883949159
chr16	ENSG00000166595	FAM96B	66965959	66968326	1069	-0.253	0.839	0.173048798	0.396370971
chr16	ENSG00000166592	RRAD	66955582	66959547	1709	-0.498	0.708	0.368111709	0.613019795
chr16	ENSG00000166589	CDH16	66942025	66952887	3656	0.029	1.02	0.9521709	0.980637147
chr17	ENSG00000166582	CENPV	16245848	16256970	2302	0.046	1.033	0.882967394	0.950014466
chr17	ENSG00000166579	NDEL1	8316449	8393729	8115	0.244	1.184	0.198297858	0.430422857
chr12	ENSG00000166578	IQCD	113633246	113658899	2460	0.397	1.316	0.159146516	0.375670968
chr11	ENSG00000166575	TMEM135	86748886	87034800	5898	-0.164	0.892	0.506151594	0.728876881
chr18	ENSG00000166562	SEC11C	56806709	56826068	3656	-0.495	0.71	0.031101668	0.1281973
chr15	ENSG00000166557	TMED3	79603404	79704334	2769	0.175	1.129	0.308076796	0.554902164
chr16	ENSG00000166548	TK2	66541906	66586447	7169	-0.124	0.918	0.598674693	0.795051305
chr12	ENSG00000166535	A2ML1	8975068	9039597	7303	0.993	1.99	0.054586396	0.188073236
chr12	ENSG00000166532	RIMKLB	8834196	8935691	8551	-0.131	0.913	0.46259975	0.694610984
chr7	ENSG00000166529	ZSCAN21	99647390	99662661	2147	0.38	1.301	0.119210237	0.312703103
chr7	ENSG00000166526	ZNF3	99661656	99680171	5420	0.427	1.345	0.015311004	0.077823026
chr12	ENSG00000166523	CLEC4E	8685901	8693559	2422	-6.996	0.008	8.45E-14	3.99E-12
chr18	ENSG00000166510	CCDC68	52568740	52626739	5115	-1.912	0.266	0.000894115	0.008457891
chr7	ENSG00000166508	MCM7	99690351	99699563	4387	0.662	1.582	0.000545011	0.005555712
chr10	ENSG00000166507	NDST2	75561669	75571589	4685	0.254	1.192	0.209148433	0.444588682
chr15	ENSG00000166503	HDGFRP3	83784320	83876770	3112	-0.603	0.659	0.032256499	0.131432057
chr16	ENSG00000166501	PRKCB	23847322	24231932	10037	-3.2	0.109	7.58E-06	0.000125317
chr17	ENSG00000166484	MAPK7	19281034	19286857	5196	0.269	1.205	0.256679631	0.500474137
chr11	ENSG00000166483	WEE1	9595228	9615004	9239	-0.07	0.953	0.694746096	0.856096964
chr17	ENSG00000166482	MFAP4	19286755	19290553	2152	-3.096	0.117	2.77E-13	1.24E-11
chr18	ENSG00000166479	TMX3	66340925	66382535	7637	-0.64	0.642	0.004951832	0.033709178
chr11	ENSG00000166478	ZNF143	9481866	9550071	4233	-0.212	0.863	0.322321782	0.569139888
chr15	ENSG00000166477	LEO1	52230222	52264003	2679	0.316	1.245	0.184995295	0.412445521
chr16	ENSG00000166473	PKD1L2	81134480	81253975	18637	0.765	1.7	0.055507307	0.190153744
chr11	ENSG00000166471	TMEM41B	9302201	9336327	4422	-0.169	0.889	0.400319408	0.64274021
chr16	ENSG00000166455	C16orf46	81087102	81110872	2369	0.356	1.28	0.249917753	0.492988774
chr16	ENSG00000166454	ATMIN	81069452	81080963	6262	0.025	1.018	0.883998458	0.950397386
chr11	ENSG00000166452	AKIP1	8932686	8941631	2300	-0.405	0.755	0.122357332	0.31835909
chr16	ENSG00000166451	CENPN	81040103	81066719	3568	0.357	1.281	0.115327592	0.306198524
chr15	ENSG00000166450	PRTG	55903744	56035288	14388	-0.651	0.637	0.211295769	0.446873342
chr7	ENSG00000166448	TMEM130	98444111	98468394	4663	-1.214	0.431	0.029324845	0.123356858
chr16	ENSG00000166446	CDYL2	80631803	80838226	8557	-0.83	0.562	0.009765426	0.05600878
chr11	ENSG00000166444	ST5	8714898	8932498	14267	-0.405	0.755	0.045226238	0.165489215
chr11	ENSG00000166441	RPL27A	8703958	8736306	7193	-0.225	0.855	0.339340669	0.585355763
chr11	ENSG00000166439	RNF169	74459913	74553458	7823	-0.13	0.914	0.515953144	0.736339253
chr11	ENSG00000166436	TRIM66	8633584	8693413	10816	0.799	1.739	0.002305704	0.018754167
chr11	ENSG00000166435	XRRA1	74518784	74660245	9086	0.007	1.005	0.972744442	0.989840479
chrX	ENSG00000166432	ZMAT1	101137262	101187004	7512	-0.181	0.882	0.631458134	0.816572039
chr14	ENSG00000166428	PLD4	105391153	105399574	2321	-2.63	0.162	9.52E-09	2.50E-07
chr15	ENSG00000166426	CRABP1	78632666	78640572	993	-0.765	0.589	0.103541625	0.285330205
chr15	ENSG00000166415	WDR72	53805938	54055075	8572	0.27	1.206	0.409345422	0.648771946
chr15	ENSG00000166411	IDH3A	78423840	78464291	6832	-0.057	0.961	0.754442657	0.88666355
chr11	ENSG00000166405	RIC3	8127597	8190602	7700	-0.359	0.78	0.315745829	0.563078497
chr11	ENSG00000166402	TUB	8040791	8127659	6722	-0.279	0.824	0.492304735	0.717849647
chr18	ENSG00000166401	SERPINB8	61637159	61672278	4375	-1.226	0.428	0.004248712	0.030159541
chr19	ENSG00000166398	KIAA0355	34745442	34846491	7459	-0.332	0.794	0.116729436	0.308670784
chr11	ENSG00000166394	CYB5R2	7686331	7698453	8596	-0.119	0.921	0.605234875	0.799220966
chr11	ENSG00000166387	PPFIBP2	7534529	7678358	9617	0.035	1.024	0.856972731	0.938330901
chr18	ENSG00000166377	ATP9B	76829285	77138283	14930	-0.12	0.92	0.626775146	0.814101822
chr19	ENSG00000166359	WDR88	33622996	33666701	1841	0.607	1.523	0.072881929	0.22749682
chr11	ENSG00000166352	C11orf74	36616051	36694823	1758	-0.342	0.789	0.140051503	0.347367886
chr11	ENSG00000166349	RAG1	36532259	36614706	7815	-0.397	0.76	0.268309966	0.5131588
chr10	ENSG00000166348	USP54	75257296	75385711	9850	0.602	1.517	0.001190326	0.010843715
chr18	ENSG00000166347	CYB5A	71920530	71959251	6865	-0.676	0.626	0.007608392	0.046624723
chr11	ENSG00000166341	DCHS1	6642556	6677085	10763	-1.625	0.324	0.00011431	0.001453473
chr11	ENSG00000166340	TPP1	6634000	6640692	4895	-0.904	0.534	6.24E-07	1.27E-05
chr11	ENSG00000166337	TAF10	6627526	6633898	6104	-0.296	0.815	0.091019628	0.263128531
chr11	ENSG00000166333	ILK	6624961	6632102	3463	-0.42	0.747	0.018338152	0.088219259
chr11	ENSG00000166326	TRIM44	35684353	35829775	3295	0.177	1.131	0.365535975	0.611005725
chr10	ENSG00000166321	NUDT13	74870217	74891586	2437	0.435	1.352	0.216985742	0.454641605
chr11	ENSG00000166313	APBB1	6416355	6440644	5194	-0.319	0.802	0.158522594	0.374873016
chr11	ENSG00000166311	SMPD1	6411655	6416228	2756	-0.591	0.664	0.025306721	0.111141912
chr10	ENSG00000166295	ANAPC16	73975787	73995618	3969	-0.061	0.958	0.733131513	0.877319732
chr17	ENSG00000166292	TMEM100	53796988	53809482	2906	0.617	1.534	0.239719752	0.48276671
chr19	ENSG00000166289	PLEKHF1	30155963	30166364	2681	-0.285	0.821	0.418946873	0.657968936
chr6	ENSG00000166278	C2	31865562	31913449	5536	-1.17	0.445	3.42E-06	6.03E-05
chr10	ENSG00000166275	C10orf32	104613980	104624718	2708	-0.415	0.75	0.119675836	0.313513053
chr10	ENSG00000166272	WBP1L	104503727	104576021	4278	-0.206	0.867	0.197893492	0.43003948
chr11	ENSG00000166266	CUL5	107879459	107978503	6742	-0.393	0.762	0.061723455	0.204175494
chr21	ENSG00000166265	CYYR1	27838528	27945603	3436	-1.246	0.422	0.020449613	0.095367919
chr17	ENSG00000166263	STXBP4	53046088	53241646	8708	-0.223	0.857	0.432070091	0.669059736
chr15	ENSG00000166262	FAM227B	49619159	49913128	6022	-0.136	0.91	0.614293614	0.805448965
chr11	ENSG00000166261	ZNF202	123594885	123612383	4808	0.323	1.251	0.179954669	0.405239229
chr17	ENSG00000166260	COX11	53029263	53046146	6488	-0.242	0.846	0.188897724	0.417575605
chr11	ENSG00000166257	SCN3B	123499895	123525952	9464	-1.088	0.47	0.020037011	0.09412687
chr11	ENSG00000166250	CLMP	122943035	123065989	2635	-2.922	0.132	2.16E-07	4.75E-06
chr16	ENSG00000166246	C16orf71	4784273	4799397	3977	0.095	1.068	0.781308435	0.900211525
chr15	ENSG00000166233	ARIH1	72766667	72879692	7246	-0.206	0.867	0.215872852	0.453283144
chr10	ENSG00000166228	PCBD1	72642037	72648541	1614	0.127	1.092	0.52417814	0.742365641
chr12	ENSG00000166226	CCT2	69979114	69995350	4322	0.011	1.008	0.949789477	0.979402354
chr12	ENSG00000166225	FRS2	69864129	69973562	7266	-0.298	0.813	0.136710629	0.342004678
chr10	ENSG00000166224	SGPL1	72575717	72640930	6257	0.26	1.198	0.171702139	0.394586068
chr15	ENSG00000166206	GABRB3	26788693	27184686	8993	-1.605	0.329	0.004519727	0.031555659
chr15	ENSG00000166200	COPS2	49398268	49447858	4940	-0.392	0.762	0.026790679	0.115775297
chr11	ENSG00000166199	ALKBH3	43902361	43941816	2372	0.008	1.005	0.972376298	0.989810476
chr10	ENSG00000166197	NOLC1	103911933	103923627	3969	0.384	1.305	0.020977884	0.097300951
chr15	ENSG00000166192	SENP8	72406599	72433311	2289	0.16	1.117	0.584857161	0.785045512
chr10	ENSG00000166189	HPS6	103825147	103827792	2646	0.116	1.084	0.532557039	0.74904364
chr16	ENSG00000166188	ZNF319	58028572	58034357	4274	0.264	1.201	0.227874874	0.468027938
chr14	ENSG00000166183	ASPG	104552016	104579098	3305	-0.411	0.752	0.345762168	0.591232934
chr11	ENSG00000166181	API5	43333513	43366079	4651	-0.244	0.844	0.186715447	0.414534097
chr15	ENSG00000166173	LARP6	71123863	71146498	3160	0.001	1.001	0.995843199	0.998618373
chr10	ENSG00000166171	DPCD	103330317	103369425	2670	-0.032	0.978	0.880194538	0.948746137
chr14	ENSG00000166170	BAG5	104022881	104029168	5271	0.119	1.086	0.499720499	0.72385131
chr10	ENSG00000166169	POLL	103338639	103348027	5734	0.265	1.202	0.144594328	0.353566344
chr10	ENSG00000166167	BTRC	103113820	103317078	6583	0.048	1.034	0.807905317	0.915690994
chr14	ENSG00000166166	TRMT61A	103995521	104003410	3229	0.597	1.513	0.010846398	0.060417458
chr14	ENSG00000166165	CKB	103985996	103989448	2669	-0.04	0.973	0.865399378	0.942726274
chr16	ENSG00000166164	BRD7	50347398	50402845	8492	0.154	1.113	0.341083951	0.587027209
chr15	ENSG00000166147	FBN1	48700503	48938046	16057	-3.911	0.066	3.11E-25	3.84E-23
chr15	ENSG00000166145	SPINT1	41136216	41150405	3587	0.43	1.348	0.031359717	0.128818271
chr15	ENSG00000166140	ZFYVE19	41099284	41106767	4264	0.412	1.331	0.048204875	0.17335641
chr10	ENSG00000166136	NDUFB8	102267203	102289757	2572	0.026	1.018	0.879672385	0.948409969
chr10	ENSG00000166135	HIF1AN	102288829	102319755	13950	0.414	1.332	0.009904408	0.056564068
chr15	ENSG00000166133	RPUSD2	40861499	40866659	1875	0.32	1.248	0.183894433	0.411010995
chr12	ENSG00000166130	IKBIP	99007183	99038891	4163	-0.859	0.551	0.000639005	0.006348413
chr15	ENSG00000166128	RAB8B	63481668	63559981	5200	-1.372	0.386	2.16E-06	3.97E-05
